foundPath,weight,visited,expanded,maxListSize,depth,extra
True,31,18,58,0,12,0
True,39,36,112,0,21,0
True,26,26,77,0,12,0
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,66,46,150,0,28,1
True,18,14,37,0,7,1
True,8,6,16,0,4,1
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,75,37,114,0,28,2
True,49,48,154,0,27,2
True,52,36,102,0,22,2
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,96,56,188,0,36,3
True,24,21,59,0,11,3
True,14,14,39,0,6,3
foundPath,weight,visited,expanded,maxListSize,depth,extra
True,66,63,226,0,32,4
True,87,49,167,0,29,4
True,30,30,99,0,16,4
